stock,完整模型,无止损失,无波动率目标,无状态自适应
A_sh.600030_中信证券,-2.51,-2.51,-3.8,-2.51
A_sh.600036_招商银行,-3.92,-3.92,-8.49,-3.92
A_sh.600519_贵州茅台,-2.56,-2.56,-8.38,-2.76
A_sh.600887_伊利股份,-0.92,-0.92,-1.51,-2.83
A_sh.601012_隆基绿能,-4.99,-4.99,-8.35,-4.99
A_sh.601688_华泰证券,-6.56,-6.56,-6.56,-6.38
A_sz.000001_平安银行,-0.54,-0.54,-3.35,-6.11
A_sz.000333_美的集团,-9.43,-9.43,-9.43,-9.43
A_sz.000568_泸州老窖,-11.58,-11.58,-11.58,-12.73
A_sz.000651_格力电器,-10.04,-10.04,-15.89,-8.41
A_sz.000858_五粮液,-4.13,-4.13,-4.13,-4.13
A_sz.002142_宁波银行,-3.3,-3.3,-3.3,-9.43
A_sz.002594_比亚迪,-6.47,-6.47,-6.47,-3.46
A_sz.300059_东方财富,-10.31,-10.31,-10.31,-5.4
A_sz.300750_宁德时代,-2.31,-2.31,-13.91,-5.46
US_AAPL_AAPL,-3.3,-3.3,-6.99,-3.3
US_MSFT_MSFT,-6.83,-6.83,-16.23,-8.98
US_NVDA_NVDA,-18.32,-18.32,-26.49,-15.62
