stock,sharpe_median,sharpe_std,annual_return_median,max_drawdown_median
A_sh.600036_招商银行,2.8,1.685295226362432,0.8935,-0.0408
A_sz.000858_五粮液,0.14,1.5886377812453032,0.0327,-0.0722
A_sz.000001_平安银行,0.49,2.5245039116626464,0.1157,-0.0547
A_sh.600030_中信证券,1.44,3.7117825906159965,0.5297,-0.1202
A_sh.600519_贵州茅台,1.75,0.8884368294932398,0.36210000000000003,-0.020099999999999996
A_sz.300750_宁德时代,3.05,2.684458977149772,1.1387,-0.0379
US_AAPL_AAPL,4.07,0.9898888826529977,1.3905,-0.045599999999999995
US_MSFT_MSFT,0.31,1.120120529228886,0.0759,-0.0683
US_NVDA_NVDA,0.8,1.5007564759147303,0.3222,-0.183
