,prob,uncertainty
2022-11-01,0.46892085671424866,0.5229560732841492
2022-11-29,0.35277900099754333,0.6155182719230652
2022-12-27,0.44685909152030945,0.5807256698608398
2023-02-01,0.4273638427257538,0.5484193563461304
2023-03-01,0.4244093596935272,0.460042268037796
2023-03-29,0.48349201679229736,0.5305579304695129
2023-04-27,0.7047802805900574,0.42253848910331726
2023-05-30,0.38660797476768494,0.4257720708847046
2023-06-29,0.5263701677322388,0.41351640224456787
2023-07-27,0.2780686914920807,0.4653051197528839
2023-08-24,0.6986632347106934,0.5562563538551331
2023-09-21,0.369489848613739,0.43184003233909607
2023-10-27,0.4554397463798523,0.42916467785835266
2023-11-24,0.7413840889930725,0.6483632326126099
2023-12-22,0.7196700572967529,0.6780670285224915
2024-01-22,0.7718691825866699,0.4708690643310547
2024-02-27,0.7452257871627808,0.5130907893180847
2024-03-26,0.21404366195201874,0.645169734954834
2024-04-25,0.3405964970588684,0.5077488422393799
2024-05-28,0.29343774914741516,0.5211193561553955
2024-06-26,0.17220081388950348,0.6740754246711731
2024-07-24,0.24332331120967865,0.5174050331115723
2024-08-21,0.3051287531852722,0.4413277506828308
2024-09-20,0.3865787386894226,0.5808566808700562
2024-10-25,0.08910901099443436,0.6330674886703491
2024-11-22,0.42905187606811523,0.3948791027069092
2024-12-20,0.3750852644443512,0.443107932806015
2025-01-20,0.3799600303173065,0.5951605439186096
2025-02-25,0.4316486418247223,0.5291117429733276
2025-03-25,0.5344575047492981,0.5407565832138062
2025-04-23,0.3586902320384979,0.5248966217041016
2025-05-26,0.5784562230110168,0.47565004229545593
2025-06-24,0.6046940088272095,0.5115138292312622
2025-07-22,0.6794702410697937,0.5556478500366211
2025-08-19,0.6931092143058777,0.4867831766605377
2025-09-16,0.4562344551086426,0.615656316280365
2025-10-22,0.4407561123371124,0.5370372533798218
2025-11-19,0.46614891290664673,0.4365641474723816
2025-12-17,0.46387121081352234,0.4791218042373657
2026-01-16,0.4850579798221588,0.43752098083496094
2026-02-13,0.43827828764915466,0.5580848455429077
2026-03-23,0.5409672260284424,0.4870787262916565
2026-04-21,0.33177119493484497,0.45023566484451294
2026-05-22,0.47434449195861816,0.5021498799324036
