stock,sharpe_median,sharpe_std,annual_return_median,max_drawdown_median,win_rate_median,total_trades_median
A_sz.000001_平安银行,0.49,0.0,0.1157,-0.0547,0.439,36.0
A_sz.000651_格力电器,-3.32,1.5,-0.5182,-0.10039999999999999,0.1905,41.0
A_sz.000568_泸州老窖,0.84,1.5,0.2888,-0.1158,0.4324,36.0
US_AAPL_AAPL,4.07,0.0,1.3905,-0.0455999999999999,0.3953,41.0
A_sh.600036_招商银行,2.8,0.0,0.8935,-0.0408,0.4054,39.0
A_sh.600030_中信证券,1.44,0.0,0.5297,-0.1202,0.5135000000000001,38.0
US_NVDA_NVDA,0.8,0.0,0.3222,-0.183,0.3947,37.0
A_sh.601688_华泰证券,0.71,1.5,0.1416,-0.06559999999999999,0.4878,40.0
A_sz.000333_美的集团,1.34,1.5,0.3969,-0.0943,0.4595,36.0
A_sz.300750_宁德时代,3.05,0.0,1.1387,-0.0379,0.4211,39.0
A_sz.000858_五粮液,0.14,0.0,0.0327,-0.0722,0.3902,40.0
US_MSFT_MSFT,0.31,0.0,0.0759,-0.0683,0.3571,42.0
A_sh.600887_伊利股份,6.34,1.5,1.8398,-0.092,0.47619999999999996,41.0
A_sh.600519_贵州茅台,1.75,0.0,0.3621,-0.0200999999999999,0.45,37.0
A_sz.300059_东方财富,-1.02,1.5,-0.2437,-0.10310000000000001,0.3023,42.0
A_sz.002142_宁波银行,3.35,1.5,0.6737,-0.033,0.425,39.0
A_sz.002594_比亚迪,2.8,1.5,0.8981,-0.0647,0.3947,36.0
A_sh.601012_隆基绿能,4.35,1.5,2.0291,-0.0499,0.439,40.0
