stock,cate_mean,cate_std,cate_min,cate_max
A_sh.600036_招商银行,-715973.7803818621,24854469.06905528,-179799983.39655,200599977.52827546
A_sz.000001_平安银行,-181907.6657900152,23501878.257932715,-179800001.72631398,204000004.55038846
A_sz.002142_宁波银行,-101064.69506138773,20062732.75809755,-144900040.4829858,169700052.36041892
A_sh.600030_中信证券,1369859.9349212823,20509254.617703624,-173199903.3099392,170999904.7787774
A_sh.601688_华泰证券,-1488345.7383680851,20680804.79208948,-201000089.19883358,179600010.3195297
A_sz.300059_东方财富,-346290.7629321662,21500379.583681427,-182000031.31779537,171100227.98076972
A_sh.600519_贵州茅台,187040.76202904983,20070671.66653874,-176400031.04803082,165599852.86055484
A_sz.000858_五粮液,-1335370.6830908773,17482354.619424462,-146799997.26729137,170399997.36739403
A_sz.000568_泸州老窖,251996.87336236855,14365107.677445738,-163900006.66626918,138600002.49640346
A_sz.000333_美的集团,-333904.3695265168,17476958.965730652,-152300093.02805272,156599946.66804042
A_sz.000651_格力电器,-419723.2859765406,20953289.791963506,-144900047.17310667,194700049.53472054
A_sh.600887_伊利股份,1869436.794527148,21530944.168545447,-162299949.76870885,176899955.89942515
A_sz.300750_宁德时代,292746.16556792666,15769100.581956461,-161999807.39658916,173599807.30658177
A_sz.002594_比亚迪,-533903.191379962,24062772.925249964,-147700025.29880622,176000029.88490635
A_sh.601012_隆基绿能,-136674.91286488716,19622399.797761615,-136000006.91752923,179200009.2791352
US_AAPL_AAPL,-1108378.3512659287,20485025.368467346,-182699919.66506687,166399909.89550853
US_MSFT_MSFT,488018.69144027255,21547034.142180346,-176799940.4134576,153199949.9438125
US_NVDA_NVDA,927955.8705190085,19861299.248369094,-167400130.48015937,188599916.06364995
