trend_window,max_position,atr_stop,vol_target,sharpe,total_return,max_drawdown
15,0.4,1.5,0.12,-0.36,6.96%,-5.53%
15,0.4,1.5,0.15,-0.19,9.55%,-6.30%
15,0.4,1.5,0.18,-0.07,11.91%,-6.93%
15,0.4,2.0,0.12,-0.56,3.04%,-5.23%
15,0.4,2.0,0.15,-0.4,4.57%,-5.93%
15,0.4,2.0,0.18,-0.29,6.07%,-6.48%
15,0.4,2.5,0.12,-0.66,1.01%,-5.74%
15,0.4,2.5,0.15,-0.51,2.06%,-7.04%
15,0.4,2.5,0.18,-0.4,3.25%,-7.93%
15,0.5,1.5,0.12,-0.37,6.60%,-5.77%
15,0.5,1.5,0.15,-0.22,8.73%,-6.88%
15,0.5,1.5,0.18,-0.09,11.32%,-7.67%
15,0.5,2.0,0.12,-0.57,2.70%,-5.47%
15,0.5,2.0,0.15,-0.42,3.77%,-6.51%
15,0.5,2.0,0.18,-0.3,5.24%,-7.23%
15,0.5,2.5,0.12,-0.67,0.68%,-5.74%
15,0.5,2.5,0.15,-0.53,1.22%,-7.15%
15,0.5,2.5,0.18,-0.41,2.16%,-8.52%
15,0.6,1.5,0.12,-0.37,6.60%,-5.77%
15,0.6,1.5,0.15,-0.23,8.28%,-7.16%
15,0.6,1.5,0.18,-0.11,10.50%,-8.21%
15,0.6,2.0,0.12,-0.57,2.70%,-5.47%
15,0.6,2.0,0.15,-0.43,3.34%,-6.80%
15,0.6,2.0,0.18,-0.32,4.47%,-7.77%
15,0.6,2.5,0.12,-0.67,0.68%,-5.74%
15,0.6,2.5,0.15,-0.53,0.80%,-7.15%
15,0.6,2.5,0.18,-0.43,1.39%,-8.56%
20,0.4,1.5,0.12,0.08,15.93%,-6.23%
20,0.4,1.5,0.15,0.26,20.75%,-7.15%
20,0.4,1.5,0.18,0.39,25.67%,-7.56%
20,0.4,2.0,0.12,-0.16,10.59%,-6.23%
20,0.4,2.0,0.15,0.01,14.17%,-7.15%
20,0.4,2.0,0.18,0.13,17.63%,-7.56%
20,0.4,2.5,0.12,-0.42,4.88%,-6.23%
20,0.4,2.5,0.15,-0.26,7.29%,-7.15%
20,0.4,2.5,0.18,-0.14,9.71%,-7.56%
20,0.5,1.5,0.12,0.06,15.55%,-6.45%
20,0.5,1.5,0.15,0.23,20.10%,-7.73%
20,0.5,1.5,0.18,0.36,25.12%,-8.76%
20,0.5,2.0,0.12,-0.17,10.23%,-6.45%
20,0.5,2.0,0.15,-0.01,13.55%,-7.73%
20,0.5,2.0,0.18,0.11,17.25%,-8.76%
20,0.5,2.5,0.12,-0.43,4.54%,-6.45%
20,0.5,2.5,0.15,-0.27,6.64%,-7.73%
20,0.5,2.5,0.18,-0.15,9.06%,-8.76%
20,0.6,1.5,0.12,0.06,15.55%,-6.45%
20,0.6,1.5,0.15,0.21,19.61%,-8.00%
20,0.6,1.5,0.18,0.33,24.37%,-9.21%
20,0.6,2.0,0.12,-0.17,10.23%,-6.45%
20,0.6,2.0,0.15,-0.03,13.09%,-8.00%
20,0.6,2.0,0.18,0.09,16.54%,-9.21%
20,0.6,2.5,0.12,-0.43,4.54%,-6.45%
20,0.6,2.5,0.15,-0.29,6.21%,-8.00%
20,0.6,2.5,0.18,-0.17,8.38%,-9.21%
25,0.4,1.5,0.12,-0.04,13.23%,-5.83%
25,0.4,1.5,0.15,0.11,16.83%,-6.24%
25,0.4,1.5,0.18,0.22,20.17%,-6.42%
25,0.4,2.0,0.12,-0.3,7.50%,-5.83%
25,0.4,2.0,0.15,-0.16,9.83%,-6.24%
25,0.4,2.0,0.18,-0.06,11.97%,-6.42%
25,0.4,2.5,0.12,-0.54,2.53%,-5.83%
25,0.4,2.5,0.15,-0.39,3.95%,-6.24%
25,0.4,2.5,0.18,-0.29,5.51%,-6.42%
25,0.5,1.5,0.12,-0.06,12.89%,-6.11%
25,0.5,1.5,0.15,0.1,16.62%,-7.24%
25,0.5,1.5,0.18,0.21,20.30%,-7.70%
25,0.5,2.0,0.12,-0.32,7.18%,-6.11%
25,0.5,2.0,0.15,-0.16,9.61%,-7.24%
25,0.5,2.0,0.18,-0.06,11.93%,-7.70%
25,0.5,2.5,0.12,-0.55,2.22%,-6.11%
25,0.5,2.5,0.15,-0.39,3.66%,-7.24%
25,0.5,2.5,0.18,-0.29,4.99%,-7.70%
25,0.6,1.5,0.12,-0.06,12.89%,-6.11%
25,0.6,1.5,0.15,0.08,16.18%,-7.59%
25,0.6,1.5,0.18,0.2,20.07%,-8.64%
25,0.6,2.0,0.12,-0.32,7.18%,-6.11%
25,0.6,2.0,0.15,-0.18,9.19%,-7.59%
25,0.6,2.0,0.18,-0.06,11.71%,-8.64%
25,0.6,2.5,0.12,-0.55,2.22%,-6.11%
25,0.6,2.5,0.15,-0.41,3.27%,-7.59%
25,0.6,2.5,0.18,-0.29,4.76%,-8.64%
