expert_id,uncertainty,prob
1,0.534336268901825,0.4487671554088592
2,0.5254976749420166,0.3715709447860718
2,0.4947324991226196,0.2576382160186767
1,0.4674349129199981,0.5339781641960144
0,0.4467626512050628,0.3714452981948852
2,0.5933067202568054,0.5399548411369324
2,0.6315063238143921,0.5954976677894592
2,0.4947583675384521,0.5114842057228088
2,0.4693722426891327,0.5923676490783691
1,0.4108059406280517,0.3511421084403991
2,0.5908622741699219,0.5585879683494568
2,0.4904213547706604,0.6349590420722961
3,0.5814881324768066,0.6270288825035095
0,0.5307881832122803,0.5686704516410828
0,0.4953681230545044,0.4088056683540344
0,0.5168164372444153,0.3625268042087555
0,0.3698859214782715,0.2260155230760574
0,0.4534157514572143,0.4198690056800842
1,0.4899636805057525,0.4010553359985351
0,0.5158653855323792,0.3880883157253265
2,0.4572439789772033,0.3462575078010559
0,0.5136922597885132,0.1477240622043609
0,0.5348946452140808,0.5735630393028259
1,0.4553366005420685,0.4880149364471435
1,0.4934199452400207,0.4231655597686767
3,0.6530368328094482,0.5378504991531372
2,0.637776255607605,0.4793690145015716
1,0.4947569668292999,0.2626627683639526
1,0.530265748500824,0.5984672904014587
2,0.617435097694397,0.3293700814247131
2,0.4727483689785003,0.4464574754238128
2,0.5972186923027039,0.524350643157959
0,0.4303995668888092,0.3708111345767975
3,0.6454121470451355,0.299887090921402
3,0.5812061429023743,0.3422601222991943
2,0.5098929405212402,0.4710996747016907
0,0.4090002477169037,0.4069213569164276
0,0.4510478377342224,0.2818545997142792
2,0.5143020749092102,0.4842282235622406
1,0.4637652039527893,0.4464756548404693
0,0.5031192302703857,0.5591851472854614
2,0.5804227590560913,0.3683745563030243
2,0.608990490436554,0.6768611669540405
2,0.5308513641357422,0.5298653244972229
