feature,importance
pct_change,1642154.004641449
RSI,1575055.0791888537
ATR,1559761.0001531949
close_position,1553474.4621591016
volatility_5,1426196.6242052733
volume_ratio,1329060.4729427993
BB_pct,1217970.9318624302
MACD_hist,1052717.5222234512
high_low_pct,1017241.6687492639
MACD_signal,922976.2700572438
BB_upper,922135.0032465989
MACD,887042.1193417762
volatility_20,790160.3587985081
BB_lower,750871.4116631071
MA5,733563.3744134639
MA10,711479.030638763
EMA12,677796.3797533093
BB_width,563822.8554564619
BB_middle,556570.6879921339
MA60,410831.1816315521
EMA26,325756.1801711522
MA20,300909.9504469777
