stock,iTransformer,TimesNet,TFT,DLinear
A_sh.600036_招商银行,0.33,1.24,1.41,0.65
A_sz.000858_五粮液,3.8,4.58,4.2,5.67
A_sz.000001_平安银行,2.26,3.46,2.97,2.9
A_sh.600030_中信证券,1.55,2.21,1.15,1.74
A_sh.600519_贵州茅台,1.38,3.92,4.03,3.18
A_sz.300750_宁德时代,0.14,0.99,0.33,1.72
A_sh.600887_伊利股份,4.77,3.7,3.79,3.46
A_sh.601012_隆基绿能,12.12,10.12,13.76,12.93
A_sh.601688_华泰证券,4.45,1.93,5.06,3.31
A_sz.000333_美的集团,-1.0,-0.02,0.31,-0.4
A_sz.000568_泸州老窖,4.49,5.32,4.88,5.46
A_sz.000651_格力电器,1.45,2.01,-0.17,1.22
A_sz.002142_宁波银行,3.54,3.81,3.83,3.77
A_sz.002594_比亚迪,1.56,2.82,2.06,1.52
A_sz.300059_东方财富,5.16,3.24,3.08,3.53
US_AAPL_AAPL,4.38,1.25,1.43,3.41
US_MSFT_MSFT,2.13,0.79,-0.28,-0.42
US_NVDA_NVDA,-2.05,-3.09,-2.12,-4.3
