阈值,止损,总收益率,基准收益率,年化收益率,基准年化,夏普比率,最大回撤,胜率,交易次数
0.5,0.05,-54.13%,-6.03%,-15.75%,-1.36%,-1.01,-57.04%,34.51%,303
0.5,0.07,-57.92%,-6.03%,-17.33%,-1.36%,-1.12,-60.59%,35.05%,293
0.5,0.1,-59.81%,-6.03%,-18.16%,-1.36%,-1.18,-62.36%,35.10%,287
0.55,0.05,-54.14%,-6.03%,-15.75%,-1.36%,-1.06,-57.30%,33.28%,277
0.55,0.07,-58.67%,-6.03%,-17.66%,-1.36%,-1.20,-61.52%,33.62%,271
0.55,0.1,-61.13%,-6.03%,-18.76%,-1.36%,-1.28,-63.81%,33.56%,267
0.6,0.05,-36.35%,-6.03%,-9.46%,-1.36%,-0.69,-45.75%,32.13%,270
0.6,0.07,-42.87%,-6.03%,-11.58%,-1.36%,-0.84,-52.28%,32.33%,266
0.6,0.1,-46.60%,-6.03%,-12.89%,-1.36%,-0.94,-55.40%,32.13%,262
0.65,0.05,-27.58%,-6.03%,-6.85%,-1.36%,-0.61,-42.60%,32.17%,228
0.65,0.07,-35.00%,-6.03%,-9.04%,-1.36%,-0.77,-48.29%,32.42%,224
0.65,0.1,-39.21%,-6.03%,-10.37%,-1.36%,-0.88,-51.64%,32.17%,222
